aksCode_URI,Point_URI,brick_PointType,nest_Equipment_URI,Room_URI,opcUaPublic
65NT_U20M2_B800_M00,42150221,Entering_Water_Temperature_Sensor,65NT_U20M2_B800,Room_271,ns=2;s=Gateway.PLC1.65NT-70201-D001.PLC1.Units.str2T0.strRead.strSensoren.strM2.strB800.rValue1
65NT_U20H1_B820_M00,42150242,Temperature_Sensor,65NT_U20H1_B820,Room_271,ns=2;s=Gateway.PLC1.65NT-70201-D001.PLC1.Units.str2T0.strRead.strSensoren.strH1.strB820.rValue1
65NT_U20H1_P890_M00,42150262,Power_Sensor,65NT_U20H1_P890,Room_271,ns=2;s=Gateway.PLC1.65NT-70201-D001.PLC1.Units.str2T0.strRead.strSensoren.strH1.strP890.rValue1
65NT_U20R1_Y100_M00,42150270,Position_Command,65NT_U20R1_Y100,Room_272,ns=2;s=Gateway.PLC1.65NT-70201-D001.PLC1.Units.str2T0.strRead.strAktoren.strR1.strY100.bValue1
65NT_U20R1_Y101_M00,42150271,Position_Command,65NT_U20R1_Y101,Room_273,ns=2;s=Gateway.PLC1.65NT-70201-D001.PLC1.Units.str2T0.strRead.strAktoren.strR1.strY101.bValue1
65NT_U20R1_Y104_M00,42150274,Position_Command,65NT_U20R1_Y104,Room_273,ns=2;s=Gateway.PLC1.65NT-70201-D001.PLC1.Units.str2T0.strRead.strAktoren.strR1.strY104.bValue1
65NT_U20R1_Y105_M00,42150275,Position_Command,65NT_U20R1_Y105,Room_273,ns=2;s=Gateway.PLC1.65NT-70201-D001.PLC1.Units.str2T0.strRead.strAktoren.strR1.strY105.bValue1
65NT_U20R1_Y106_M00,42150276,Position_Command,65NT_U20R1_Y106,Room_274,ns=2;s=Gateway.PLC1.65NT-70201-D001.PLC1.Units.str2T0.strRead.strAktoren.strR1.strY106.bValue1
65NT_U20R1_S100_D00,42150284,Open_Close_Status,65NT_U20R1_S100,Room_272,ns=2;s=Gateway.PLC1.65NT-70201-D001.PLC1.Units.str2T0.strRead.strSensoren.strR1.strS100.bValue1
65NT_U20R1_S101_D00,42150285,Open_Close_Status,65NT_U20R1_S101,Room_273,ns=2;s=Gateway.PLC1.65NT-70201-D001.PLC1.Units.str2T0.strRead.strSensoren.strR1.strS101.bValue1
65NT_U20R1_S102_D00,42150286,Open_Close_Status,65NT_U20R1_S102,Room_273,ns=2;s=Gateway.PLC1.65NT-70201-D001.PLC1.Units.str2T0.strRead.strSensoren.strR1.strS102.bValue1
65NT_U20R1_S103_D00,42150287,Open_Close_Status,65NT_U20R1_S103,Room_274,ns=2;s=Gateway.PLC1.65NT-70201-D001.PLC1.Units.str2T0.strRead.strSensoren.strR1.strS103.bValue1
65NT_U20R2_B870_M00,42150288,Temperature_Sensor,65NT_U20R2_B870,Room_272,ns=2;s=Gateway.PLC1.65NT-70201-D001.PLC1.Units.str2T0.strRead.strSensoren.strR2.strB870.rValue1
65NT_U20R2_B870_M01,42150289,Humidity_Sensor,65NT_U20R2_B870,Room_272,ns=2;s=Gateway.PLC1.65NT-70201-D001.PLC1.Units.str2T0.strRead.strSensoren.strR2.strB870.rValue2
65NT_U20R2_B870_M03,42150291,Illuminance_Sensor,65NT_U20R2_B870,Room_272,ns=2;s=Gateway.PLC1.65NT-70201-D001.PLC1.Units.str2T0.strRead.strSensoren.strR2.strB870.rValue4
65NT_U20R3_B870_M00,42150300,Temperature_Sensor,65NT_U20R3_B870,Room_273,ns=2;s=Gateway.PLC1.65NT-70201-D001.PLC1.Units.str2T0.strRead.strSensoren.strR3.strB870.rValue1
65NT_U20R3_B870_M01,42150301,Humidity_Sensor,65NT_U20R3_B870,Room_273,ns=2;s=Gateway.PLC1.65NT-70201-D001.PLC1.Units.str2T0.strRead.strSensoren.strR3.strB870.rValue2
65NT_U20R3_B870_M03,42150303,Illuminance_Sensor,65NT_U20R3_B870,Room_273,ns=2;s=Gateway.PLC1.65NT-70201-D001.PLC1.Units.str2T0.strRead.strSensoren.strR3.strB870.rValue4
65NT_U20R4_B870_M00,42150312,Temperature_Sensor,65NT_U20R4_B870,Room_274,ns=2;s=Gateway.PLC1.65NT-70201-D001.PLC1.Units.str2T0.strRead.strSensoren.strR4.strB870.rValue1
65NT_U20R4_B870_M01,42150313,Humidity_Sensor,65NT_U20R4_B870,Room_274,ns=2;s=Gateway.PLC1.65NT-70201-D001.PLC1.Units.str2T0.strRead.strSensoren.strR4.strB870.rValue2
65NT_U20R4_B870_M03,42150315,Illuminance_Sensor,65NT_U20R4_B870,Room_274,ns=2;s=Gateway.PLC1.65NT-70201-D001.PLC1.Units.str2T0.strRead.strSensoren.strR4.strB870.rValue4
65NT_U20R5_B870_M00,42150324,Temperature_Sensor,65NT_U20R5_B870,Room_275,ns=2;s=Gateway.PLC1.65NT-70201-D001.PLC1.Units.str2T0.strRead.strSensoren.strR5.strB870.rValue1
65NT_U20R6_B870_M00,42150336,Temperature_Sensor,65NT_U20R6_B870,Room_276,ns=2;s=Gateway.PLC1.65NT-70201-D001.PLC1.Units.str2T0.strRead.strSensoren.strR6.strB870.rValue1
